time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447200000	19.2861	8.19494	4.87524	1.12382	0.431092	lidar	1.46914	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3844	8.40735	4.87275	1.1398	0.417825	radar	2.33256	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.481	8.55701	4.7839	1.14377	0.40034	lidar	4.38701	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5701	8.76961	4.76548	1.16884	0.411732	radar	0.642629	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7343	8.93985	4.73931	1.15108	0.368143	lidar	4.32695	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8052	9.16528	4.72345	1.18756	0.399629	radar	1.03995	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9376	9.38421	4.74297	1.19007	0.379109	lidar	2.85049	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9799	9.61144	4.70871	1.2394	0.432054	radar	2.80263	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0689	9.84532	4.72808	1.25755	0.427686	lidar	0.615244	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1287	10.0931	4.75979	1.28311	0.425737	radar	7.01974	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1776	10.359	4.80164	1.31777	0.440013	lidar	0.731026	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1919	10.5975	4.77984	1.36814	0.48733	radar	2.94962	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2514	10.8645	4.82609	1.39244	0.486022	lidar	1.87753	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2806	11.1191	4.84936	1.42058	0.48542	radar	4.85538	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.315	11.3564	4.84619	1.44397	0.484535	lidar	0.00401238	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2586	11.6076	4.81931	1.52499	0.580135	radar	10.6496	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.331	11.8463	4.82613	1.52811	0.551159	lidar	4.77904	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3579	12.0801	4.83364	1.53062	0.499617	radar	3.73864	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3457	12.3619	4.8865	1.56676	0.50998	lidar	1.08182	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2947	12.6018	4.86438	1.62761	0.573662	radar	3.19193	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3198	12.8412	4.86032	1.63942	0.555357	lidar	1.85798	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3066	13.0739	4.84588	1.66624	0.558277	radar	2.11043	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2708	13.289	4.81198	1.69667	0.562278	lidar	1.07079	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.232	13.5243	4.81139	1.72253	0.553518	radar	1.30452	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2125	13.7804	4.83444	1.74277	0.544608	lidar	1.28116	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1558	14.009	4.82158	1.78007	0.564352	radar	0.852567	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1014	14.2618	4.84593	1.80861	0.56381	lidar	0.328665	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0294	14.491	4.84234	1.83996	0.565266	radar	1.38472	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.922	14.7424	4.87917	1.8828	0.579622	lidar	1.20012	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8554	14.9615	4.86233	1.89891	0.552536	radar	3.41421	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8239	15.1814	4.83279	1.90838	0.534208	lidar	2.17709	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.69	15.3921	4.8206	1.98704	0.640617	radar	7.82685	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6584	15.5845	4.75674	1.99557	0.617749	lidar	3.74561	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5636	15.7916	4.74385	2.02167	0.608262	radar	1.3873	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4604	16.0038	4.74281	2.05083	0.606964	lidar	0.013166	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3587	16.2132	4.7391	2.06536	0.571558	radar	1.87019	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2486	16.3916	4.7001	2.09542	0.574579	lidar	0.791253	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1297	16.5896	4.69456	2.12512	0.577539	radar	0.289167	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0011	16.7971	4.70829	2.15339	0.576401	lidar	0.0954212	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8438	16.9887	4.72204	2.21369	0.645122	radar	6.429	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6736	17.2183	4.79171	2.24756	0.644314	lidar	1.74425	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5709	17.4243	4.77445	2.22971	0.544273	radar	6.16807	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3599	17.6124	4.82211	2.27662	0.563245	lidar	3.81696	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2236	17.8043	4.81371	2.27869	0.508794	radar	2.34344	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0918	17.9911	4.79954	2.29469	0.499402	lidar	0.904601	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9154	18.1462	4.78805	2.33894	0.536296	radar	2.02548	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.782	18.2916	4.73144	2.36057	0.532654	lidar	1.14278	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6477	18.4739	4.71862	2.36725	0.503127	radar	6.66007	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4558	18.6528	4.7549	2.39477	0.504517	lidar	0.445836	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2742	18.7946	4.74258	2.43052	0.524078	radar	1.78948	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1119	18.9323	4.70964	2.45499	0.523194	lidar	0.362602	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9446	19.1027	4.71609	2.46659	0.500829	radar	3.01812	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7284	19.2176	4.71569	2.50721	0.517176	lidar	2.71628	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5387	19.3703	4.73023	2.53135	0.519701	radar	3.22942	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3169	19.5286	4.78125	2.55695	0.517837	lidar	0.851542	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0934	19.6122	4.76604	2.60873	0.558098	radar	10.0915	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8891	19.7552	4.78579	2.62898	0.549498	lidar	0.775034	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6998	19.8807	4.7633	2.63312	0.500142	radar	3.19424	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4719	20.0318	4.81586	2.65083	0.490888	lidar	1.37792	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2619	20.1727	4.8347	2.66187	0.470258	radar	5.68746	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0722	20.3055	4.82474	2.67299	0.457604	lidar	1.82138	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8422	20.3876	4.82421	2.71113	0.48193	radar	2.16126	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6265	20.507	4.83524	2.72766	0.473775	lidar	0.636561	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.391	20.5932	4.84998	2.76459	0.500957	radar	1.31781	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1447	20.6675	4.86499	2.7969	0.508143	lidar	0.754529	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9086	20.7383	4.87207	2.83276	0.530087	radar	0.379265	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6361	20.8013	4.91509	2.8678	0.537843	lidar	1.82435	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3888	20.8316	4.92021	2.92191	0.590987	radar	2.35117	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1416	20.8735	4.92345	2.95507	0.594657	lidar	0.164805	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9102	20.9319	4.91701	2.97634	0.583436	radar	1.76465	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
